2025-08-12 01:41:11.146 |     INFO |                 root | run_comprehensive_debug: 326 | 🚀 STARTING COMPREHENSIVE DATABASE CONNECTION DEBUG
2025-08-12 01:41:11.146 |     INFO |                 root | run_comprehensive_debug: 327 | Debug started at: 2025-08-12 01:41:11 IDT
2025-08-12 01:41:11.146 |     INFO |                 root |      log_system_info:  53 | ====================================================================================================
2025-08-12 01:41:11.146 |     INFO |                 root |      log_system_info:  54 | SYSTEM INFORMATION COLLECTION STARTING
2025-08-12 01:41:11.146 |     INFO |                 root |      log_system_info:  55 | ====================================================================================================
2025-08-12 01:41:11.146 |     INFO |                 root |      log_system_info:  58 | Python version: 3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]
2025-08-12 01:41:11.147 |     INFO |                 root |      log_system_info:  59 | Platform: Linux-6.14.0-27-generic-x86_64-with-glibc2.39
2025-08-12 01:41:11.160 |     INFO |                 root |      log_system_info:  60 | Architecture: ('64bit', 'ELF')
2025-08-12 01:41:11.160 |     INFO |                 root |      log_system_info:  61 | Machine: x86_64
2025-08-12 01:41:11.160 |     INFO |                 root |      log_system_info:  62 | Processor: x86_64
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  68 | Local hostname: shahar42-HP-Pavilion-Laptop-15-cc5xx
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  69 | Local IP: 127.0.1.1
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  74 | psycopg2 version: 2.9.7 (dt dec pq3 ext lo64)
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  75 | psycopg2 libpq version: 160009
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  78 | Python SSL version: OpenSSL 3.0.13 30 Jan 2024
2025-08-12 01:41:11.162 |     INFO |                 root |      log_system_info:  80 | SSL/TLS supported: True
2025-08-12 01:41:11.163 |     INFO |                 root |      log_system_info:  81 | SSL default ciphers: 21
2025-08-12 01:41:11.163 |     INFO |                 root |      log_system_info:  88 | Attempting to resolve hostname: dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com
2025-08-12 01:41:11.233 |     INFO |                 root |      log_system_info:  90 | Hostname resolution successful: ('dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com', [], ['18.205.164.157', '35.174.144.149', '54.87.193.254'])
2025-08-12 01:41:11.233 |     INFO |                 root |      log_system_info:  93 | Resolved IP address: 18.205.164.157
2025-08-12 01:41:11.234 |     INFO |                 root |      log_system_info:  93 | Resolved IP address: 35.174.144.149
2025-08-12 01:41:11.234 |     INFO |                 root |      log_system_info:  93 | Resolved IP address: 54.87.193.254
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables:  99 | ==================================================
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 100 | ENVIRONMENT VARIABLES
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 101 | ==================================================
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 111 | DB_HOST: dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 111 | DB_PORT: 5432
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 111 | DB_NAME: surf_lamp_db
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 111 | DB_USER: surf_lamp_db_user
2025-08-12 01:41:11.234 |     INFO |                 root | log_environment_variables: 109 | DB_PASSWORD: ******************************** (length: 32)
2025-08-12 01:41:11.234 |     INFO |                 root | test_ping_and_traceroute: 296 | ==================================================
2025-08-12 01:41:11.234 |     INFO |                 root | test_ping_and_traceroute: 297 | NETWORK PATH TESTING
2025-08-12 01:41:11.234 |     INFO |                 root | test_ping_and_traceroute: 298 | ==================================================
2025-08-12 01:41:11.234 |     INFO |                 root | test_ping_and_traceroute: 303 | Testing ping to dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com
2025-08-12 01:41:24.331 |     INFO |                 root | test_ping_and_traceroute: 308 | Ping exit code: 1
2025-08-12 01:41:24.331 |     INFO |                 root | test_ping_and_traceroute: 309 | Ping stdout:
PING dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com (35.174.144.149) 56(84) bytes of data.

--- dpg-d2d4ffemc3f73a7b9p0-a.virginia-postgres.render.com ping statistics ---
4 packets transmitted, 0 received, 100% packet loss, time 3074ms


2025-08-12 01:41:24.331 |     INFO |                 root | test_network_connectivity: 117 | ==================================================
2025-08-12 01:41:24.331 |     INFO |                 root | test_network_connectivity: 118 | NETWORK CONNECTIVITY TESTING
