SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-09-24T02:43:11.385985
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 3
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

System Health Summary
The web service is reported as healthy. However, there are recurring database errors related to a missing column, which may impact the system's ability to properly serve user data. The background service seems to be running, although a warning indicates issues retrieving lamp data for specific locations.

Performance Analysis
The number of Arduino requests in the last 24 hours is low. The processing performance data is showing zero values, indicating a lack of data in cycle times, success rate and average duration. This missing data makes it difficult to assess processing performance.

Notable Patterns
A recurring error in the web service logs indicates the database query is attempting to access a column named `sport_type` in the `users` table, which does not exist. This suggests a potential schema mismatch or an outdated query. The background service logs show a consistent failure to find lamps for a specific location (Netanya, Israel), while successfully retrieving lamps for another location (Hadera, Israel).

Issues & Operational Recommendations
The database error is a critical issue that requires immediate attention, as it may impact the web service's ability to retrieve user-specific data. The inconsistent retrieval of lamps for different locations by the background service could indicate issues with location data or the data source used to look up lamps. Review the user table structure and background service logic.

Optimization Opportunities
There may be an opportunity to optimize database queries. Consider reviewing and potentially refactoring database queries to improve efficiency and reduce the likelihood of errors. Analyze API request patterns for potential areas of optimization, such as reducing redundant requests.

Trends & Predictions
The missing `sport_type` column error has been ongoing for the last 24 hrs within the web service. Without resolving this issue, this may lead to degraded user experience. If the background service continues to fail retrieving lamp data for Netanya, this may lead to devices within that geographical area from receiving updates.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-09-24T02:43:11.385985",
  "timeframe": "24 hours",
  "web_service_logs": [
    "\ud83d\udcac 23:08:07 | 162.158.79.152 - - [23/Sep/2025:23:08:07 +0000] \"GET /dashboard HTTP/1.1\" 302 199 \"-\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36\"",
    "\u274c 23:08:07 | (Background on this error at: https://sqlalche.me/e/20/f405)",
    "\ud83d\udcac 23:08:07 | [parameters: {'email_1': 'shaharisn1@gmail.com', 'param_1': 1}]",
    "\ud83d\udcac 23:08:07 |  LIMIT %(param_1)s]",
    "\ud83d\udcac 23:08:07 | WHERE users.email = %(email_1)s",
    "\ud83d\udcac 23:08:07 | FROM users JOIN lamps ON users.user_id = lamps.user_id LEFT OUTER JOIN current_conditions ON lamps.lamp_id = current_conditions.lamp_id",
    "\ud83d\udcac 23:08:07 | [SQL: SELECT users.user_id AS users_user_id, users.username AS users_username, users.password_hash AS users_password_hash, users.email AS users_email, users.location AS users_location, users.theme AS users_theme, users.preferred_output AS users_preferred_output, users.sport_type AS users_sport_type, users.wave_threshold_m AS users_wave_threshold_m, users.wind_threshold_knots AS users_wind_threshold_knots, lamps.lamp_id AS lamps_lamp_id, lamps.user_id AS lamps_user_id, lamps.arduino_id AS lamps_arduino_id, lamps.arduino_ip AS lamps_arduino_ip, lamps.last_updated AS lamps_last_updated, current_conditions.lamp_id AS current_conditions_lamp_id, current_conditions.wave_height_m AS current_conditions_wave_height_m, current_conditions.wave_period_s AS current_conditions_wave_period_s, current_conditions.wind_speed_mps AS current_conditions_wind_speed_mps, current_conditions.wind_direction_deg AS current_conditions_wind_direction_deg, current_conditions.last_updated AS current_conditions_last_updated",
    "\ud83d\udcac 23:08:07 |",
    "\ud83d\udcac 23:08:07 |                                                              ^",
    "\ud83d\udcac 23:08:07 | LINE 1: ...users.preferred_output AS users_preferred_output, users.spor...",
    "\u274c 23:08:07 | ERROR:data_base:Error fetching user lamp data: (psycopg2.errors.UndefinedColumn) column users.sport_type does not exist",
    "\ud83d\udcac 23:08:07 | INFO:data_base:Fetching lamp data for user: shaharisn1@gmail.com",
