SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-10-24T20:00:30.478694
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 28
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

**System Health Summary**
*   Overall system healthy.
*   No web or background errors reported in the last 24 hours.
*   Service running smoothly on the starter plan.

**Performance Analysis**
*   Low API request volume (28 total).
*   Processing success rate is 100%, but cycle times and average durations are 0.
*   Single device (4433) dominating all requests.

**Notable Patterns**
*   Arduino 4433 consistently requesting data in "PULL mode".
*   No threshold alerts triggered.
*   Database cycles list the table sizes.

**Issues & Recommendations**
*   Extremely low request volume raises concerns about lamp usage or connectivity.
*   Investigate the absence of cycle times and average duration to ensure correct data collection.
*   Consider if starter plan resources are too low for locations: Tel Aviv, Netanya, Hadera.

**Optimization Opportunities**
*   Optimize data request frequency by Arduino 4433.
*   Improve data logging to capture meaningful performance metrics.

**Trends & Predictions**
*   Continued low usage could indicate a need for user engagement strategies.
*   Without performance data, future scaling needs are difficult to predict.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-10-24T20:00:30.478694",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 13:12:58 | INFO:data_base:Fetching lamp data for user: shaharisn1@gmail.com",
    "LOG: 13:12:54 | 162.158.146.174 - - [24/Oct/2025:13:12:54 +0000] \"GET /static/site.webmanifest HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:49 | 172.71.147.63 - - [24/Oct/2025:13:12:49 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:49 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=40cm",
    "LOG: 13:12:49 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:12:49 | 162.158.146.158 - - [24/Oct/2025:13:12:49 +0000] \"GET /static/icons/wave_period_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:49 | 162.158.146.199 - - [24/Oct/2025:13:12:49 +0000] \"GET /static/icons/wind_direction_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:49 | 162.158.146.154 - - [24/Oct/2025:13:12:49 +0000] \"GET /static/icons/wind_speed_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:49 | 172.70.200.140 - - [24/Oct/2025:13:12:49 +0000] \"GET /static/icons/wave_height_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:48 | 172.71.146.223 - - [24/Oct/2025:13:12:48 +0000] \"GET /dashboard HTTP/1.1\" 200 30505 \"https://final-surf-lamp-web.onrender.com/login\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:12:48 | INFO:data_base:Found user shahar with lamp 4422",
