SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-10-25T20:00:20.057089
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 22
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

**System Health Summary**
*   Overall status: Healthy. No web or background errors reported.
*   Service: Web service is running, no recent events, 5 recent deployments.

**Performance Analysis**
*   Arduino requests: 22 from one unique device (4433).
*   Processing: 100% success rate, avg. duration is near zero, suggesting low load.

**Notable Patterns**
*   Single Arduino device (4433) is responsible for all reported API activity.
*   Background processing logs show multiple Arduino devices associated with lamps.

**Issues & Recommendations**
*   Low API request volume raises concern about device connectivity/usage.
*   Investigate why only one device is active; could indicate device failure or network issues.
*   Monitor deployment impact on performance.

**Optimization Opportunities**
*   Evaluate scaling needs given single instance web service and low API load.

**Trends & Predictions**
*   If low request volume continues, investigate the necessity of starter plan.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-10-25T20:00:20.057089",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 13:31:48 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=34cm",
    "LOG: 13:31:48 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:31:48 | 172.71.146.207 - - [25/Oct/2025:13:31:48 +0000] \"GET /static/icons/wind_direction_4x.png HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:31:48 | 172.71.146.166 - - [25/Oct/2025:13:31:48 +0000] \"GET /static/icons/wind_speed_icon_4x.png HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:31:47 | 172.71.146.138 - - [25/Oct/2025:13:31:47 +0000] \"GET /static/icons/wave_period_icon_4x.png HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:31:47 | 172.71.147.89 - - [25/Oct/2025:13:31:47 +0000] \"GET /static/icons/wave_height_icon_4x.png HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:31:47 | 172.71.147.229 - - [25/Oct/2025:13:31:47 +0000] \"GET /dashboard HTTP/1.1\" 200 30505 \"-\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:31:47 | INFO:data_base:Found user shahar with lamp 4422",
    "LOG: 13:31:47 | INFO:data_base:Fetching lamp data for user: shaharisn1@gmail.com",
    "LOG: 13:25:01 | 172.71.146.126 - - [25/Oct/2025:13:25:01 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:25:00 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=34cm",
