SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-10-29T20:00:43.798438
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 30
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

**System Health Summary**
*   Healthy status reported; no web/background errors in the last 24h.
*   Web service using a single "starter" instance.

**Performance Analysis**
*   API requests: 30 total requests from one device (Arduino 4433).
*   Background processing success rate: 1.0, average duration is 0.

**Notable Patterns**
*   Single Arduino device (4433) accounts for all requests.
*   Background logs show successful data retrieval from external API.

**Issues & Recommendations**
*   Over-reliance on single device could indicate device malfunction or network config issue.
*   Investigate why only one Arduino is active.
*   Monitor web service resource usage due to limited "starter" plan resources.

**Optimization Opportunities**
*   Optimize for multiple active devices.
*   Consider more efficient external API data fetching.

**Trends & Predictions**
*   Continued single-device access will limit system value.
*   Web service may require plan upgrade with increased device use.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-10-29T20:00:43.798438",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 14:20:38 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 14:07:35 | 172.71.151.201 - - [29/Oct/2025:14:07:35 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 14:07:35 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=30cm",
    "LOG: 14:07:35 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:54:34 | 172.71.150.76 - - [29/Oct/2025:13:54:34 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:54:34 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=30cm",
    "LOG: 13:54:33 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:41:31 | 162.158.254.132 - - [29/Oct/2025:13:41:31 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:41:31 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 13:41:30 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:28:28 | 172.71.151.215 - - [29/Oct/2025:13:28:28 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:28:28 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 13:28:28 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:15:26 | 172.71.150.39 - - [29/Oct/2025:13:15:26 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:15:26 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 13:15:26 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:02:26 | 172.71.203.5 - - [29/Oct/2025:13:02:26 +0000] \"GET /static/site.webmanifest HTTP/1.1\" 304 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:23 | 104.23.187.127 - - [29/Oct/2025:13:02:23 +0000] \"GET /static/icons/wind_speed_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:23 | 172.71.151.53 - - [29/Oct/2025:13:02:23 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:23 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 13:02:23 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:02:23 | 172.71.151.132 - - [29/Oct/2025:13:02:23 +0000] \"GET /static/icons/wave_period_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:23 | 172.71.151.10 - - [29/Oct/2025:13:02:23 +0000] \"GET /static/icons/wind_direction_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:23 | 104.23.187.127 - - [29/Oct/2025:13:02:23 +0000] \"GET /static/icons/wave_height_icon_4x.png HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/dashboard\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:22 | 162.158.254.132 - - [29/Oct/2025:13:02:22 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 13:02:22 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 13:02:22 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 13:02:22 | 104.23.187.127 - - [29/Oct/2025:13:02:22 +0000] \"GET /dashboard HTTP/1.1\" 200 30505 \"https://final-surf-lamp-web.onrender.com/login\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:22 | INFO:data_base:Found user shahar with lamp 4422",
    "LOG: 13:02:22 | INFO:data_base:Fetching lamp data for user: shaharisn1@gmail.com",
    "LOG: 13:02:22 | 104.23.187.127 - - [29/Oct/2025:13:02:22 +0000] \"POST /login HTTP/1.1\" 302 207 \"https://final-surf-lamp-web.onrender.com/login\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:17 | 172.71.203.5 - - [29/Oct/2025:13:02:17 +0000] \"GET /static/site.webmanifest HTTP/1.1\" 200 0 \"https://final-surf-lamp-web.onrender.com/login\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:15 | 172.71.150.71 - - [29/Oct/2025:13:02:15 +0000] \"GET /login HTTP/1.1\" 200 4538 \"-\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 13:02:14 | 172.71.146.209 - - [29/Oct/2025:13:02:14 +0000] \"GET /dashboard HTTP/1.1\" 302 199 \"-\" \"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36\"",
    "LOG: 12:49:20 | 162.158.254.132 - - [29/Oct/2025:12:49:20 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 12:49:20 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=47cm",
    "LOG: 12:49:20 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 12:36:18 | 162.158.254.133 - - [29/Oct/2025:12:36:18 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 12:36:18 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=29cm",
    "LOG: 12:36:18 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 12:23:16 | 162.158.254.132 - - [29/Oct/2025:12:23:16 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 12:23:16 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=29cm",
    "LOG: 12:23:16 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 12:10:13 | 172.71.150.24 - - [29/Oct/2025:12:10:13 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 12:10:13 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=29cm",
    "LOG: 12:10:13 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 11:57:11 | 172.71.151.176 - - [29/Oct/2025:11:57:11 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 264 \"-\" \"ESP32HTTPClient\"",
    "LOG: 11:57:11 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=29cm",
