SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-11-01T20:00:27.497044
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 21
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

System Health Summary:
*   Service: Healthy. No web or background errors in the last 24 hours.
*   Web service on starter plan, 1 instance.

Performance Analysis:
*   Success Rate: 100%. Avg duration is at 0.
*   Arduino requests: 21 from a single device (4433).

Notable Patterns:
*   Dominant activity from single Arduino device (4433).
*   No error patterns detected in API usage.

Issues & Recommendations:
*   Single Arduino usage skew might indicate a problem with other devices. Investigate device 4433 usage.
*   Review "starter" plan, as more devices become active.

Optimization Opportunities:
*   Improve monitoring, esp. for quiet hours & location data.
*   Address zero average duration

Trends & Predictions:
*   Low device activity needs investigation, potential scaling issues ahead if more devices connect.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-11-01T20:00:27.497044",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 17:16:44 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=72cm",
    "LOG: 17:16:43 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 17:03:41 | 172.71.146.190 - - [01/Nov/2025:17:03:41 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 262 \"-\" \"ESP32HTTPClient\"",
    "LOG: 17:03:41 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=72cm",
    "LOG: 17:03:41 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 16:50:39 | 172.71.151.175 - - [01/Nov/2025:16:50:39 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 262 \"-\" \"ESP32HTTPClient\"",
    "LOG: 16:50:39 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=85cm",
    "LOG: 16:50:39 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 16:37:37 | 172.71.150.23 - - [01/Nov/2025:16:37:37 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 262 \"-\" \"ESP32HTTPClient\"",
    "LOG: 16:37:37 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=85cm",
    "LOG: 16:37:36 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 16:24:35 | 172.71.151.84 - - [01/Nov/2025:16:24:35 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 263 \"-\" \"ESP32HTTPClient\"",
    "LOG: 16:24:34 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=85cm",
    "LOG: 16:24:34 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 16:11:33 | 172.71.146.22 - - [01/Nov/2025:16:11:33 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 263 \"-\" \"ESP32HTTPClient\"",
    "LOG: 16:11:33 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=85cm",
    "LOG: 16:11:33 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 15:58:28 | 172.71.151.173 - - [01/Nov/2025:15:58:28 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 263 \"-\" \"ESP32HTTPClient\"",
    "LOG: 15:58:28 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=85cm",
    "LOG: 15:58:28 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 15:45:26 | 172.71.150.29 - - [01/Nov/2025:15:45:26 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 262 \"-\" \"ESP32HTTPClient\"",
    "LOG: 15:45:26 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=91cm",
    "LOG: 15:45:26 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 15:32:25 | 172.71.151.23 - - [01/Nov/2025:15:32:25 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 262 \"-\" \"ESP32HTTPClient\"",
    "LOG: 15:32:25 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=91cm",
    "LOG: 15:32:24 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
