SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-11-17T20:00:25.197843
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 26
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

**System Health Summary**
*   Overall system healthy: No web or background errors.
*   Web service available; single instance, starter plan.

**Performance Analysis**
*   Low API activity: Only 26 Arduino requests.
*   Single device (4433) active.
*   Success rate of background processing: 100%.

**Notable Patterns**
*   Device 4433 consistently requests data.
*   Background process fetches data from Isramar API.

**Issues & Recommendations**
*   Low device engagement: Only one active Arduino. Investigate onboarding/connectivity issues.
*   Single instance web service: Potential bottleneck. Consider scaling up.
*   Starter plan may become a bottleneck in the future.
*   Too many recent deploys can increase risk.

**Optimization Opportunities**
*   Optimize Arduino data request frequency.
*   Explore caching surf data.

**Trends & Predictions**
*   Low activity may indicate device outages or lack of user engagement.
*   Single point of failure in web service.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-11-17T20:00:25.197843",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 11:32:44 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 11:19:41 | 172.71.151.174 - - [17/Nov/2025:11:19:41 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 11:19:41 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 11:19:41 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 11:06:37 | 172.71.151.154 - - [17/Nov/2025:11:06:37 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 11:06:37 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 11:06:37 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 10:53:35 | 172.71.151.221 - - [17/Nov/2025:10:53:35 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 10:53:35 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 10:53:35 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 10:40:32 | 172.71.151.37 - - [17/Nov/2025:10:40:32 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 10:40:32 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 10:40:32 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 10:27:30 | 172.71.151.71 - - [17/Nov/2025:10:27:30 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 10:27:30 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 10:27:30 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 10:14:27 | 172.71.151.200 - - [17/Nov/2025:10:14:27 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 10:14:27 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 10:14:27 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 10:01:25 | 172.71.150.76 - - [17/Nov/2025:10:01:25 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 10:01:25 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=41cm",
    "LOG: 10:01:25 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 09:48:23 | 172.71.147.141 - - [17/Nov/2025:09:48:23 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
