SURF LAMP SYSTEM INSIGHTS REPORT
Generated: 2025-11-18T20:00:23.832780
Analysis Period: 24 hours

Raw Data Summary:
- Web Service Logs: 50 entries
- Background Service Logs: 50 entries
- Service Status: healthy
- Recent Deployments: 5
- API Requests: 14
- Processing Avg Duration: 0.0s

--------------------------------------------------------------------------------

*   **System Health Summary:**
    *   Service status is healthy, but recent 500 error.
    *   No errors reported for background tasks, but limited data.
    *   Single web service instance.

*   **Performance Analysis:**
    *   Arduino requests are low (14).
    *   Cycle times and average duration is near zero (possibly incorrect).
    *   Success rate is perfect, but conflicts with the API error log.

*   **Notable Patterns:**
    *   Very few requests logged in 24 hours.
    *   Only one unique device making requests.
    *   Multiple requests for static web icons.

*   **Issues & Recommendations:**
    *   API returning 500 errors needs investigation.
    *   Starter service plan may not scale.
    *   Verify reported performance metrics accuracy.

*   **Optimization Opportunities:**
    *   Increase the number of web service instances, considering the single node setup.
    *   Data fetch optimization, prioritize from local cache.

*   **Trends & Predictions:**
    *   Low usage could indicate a problem with the devices or the application.
    *   Potentially unsustainable on one instance if load increases.


--------------------------------------------------------------------------------

Technical Data Details:
{
  "timestamp": "2025-11-18T20:00:23.832780",
  "timeframe": "24 hours",
  "web_service_logs": [
    "LOG: 16:18:30 | FROM lamps LEFT OUTER JOIN current_conditions ON lamps.lamp_id = current_conditions.lamp_id JOIN users ON lamps.user_id = users.user_id",
    "LOG: 16:18:30 | [SQL: SELECT lamps.lamp_id AS lamps_lamp_id, lamps.user_id AS lamps_user_id, lamps.arduino_id AS lamps_arduino_id, lamps.last_updated AS lamps_last_updated, current_conditions.lamp_id AS current_conditions_lamp_id, current_conditions.wave_height_m AS current_conditions_wave_height_m, current_conditions.wave_period_s AS current_conditions_wave_period_s, current_conditions.wind_speed_mps AS current_conditions_wind_speed_mps, current_conditions.wind_direction_deg AS current_conditions_wind_direction_deg, current_conditions.last_updated AS current_conditions_last_updated, users.user_id AS users_user_id, users.username AS users_username, users.password_hash AS users_password_hash, users.email AS users_email, users.location AS users_location, users.theme AS users_theme, users.preferred_output AS users_preferred_output, users.sport_type AS users_sport_type, users.wave_threshold_m AS users_wave_threshold_m, users.wind_threshold_knots AS users_wind_threshold_knots",
    "ERROR: 16:18:30 | ERROR:app:\u274c Error getting surf data for Arduino 4433: (psycopg2.OperationalError) unknown error",
    "LOG: 16:18:30 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 16:05:29 | 172.71.147.141 - - [18/Nov/2025:16:05:29 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 16:05:29 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=16cm",
    "LOG: 16:05:28 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 15:52:26 | 172.71.147.2 - - [18/Nov/2025:15:52:26 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 200 266 \"-\" \"ESP32HTTPClient\"",
    "LOG: 15:52:26 | INFO:app:\u2705 Returning surf data for Arduino 4433: wave=16cm",
    "LOG: 15:52:25 | INFO:app:\ud83d\udce5 Arduino 4433 requesting surf data (PULL mode)",
    "LOG: 15:43:17 | 172.71.147.135 - - [18/Nov/2025:15:43:17 +0000] \"GET /api/arduino/4433/data HTTP/1.1\" 500 25 \"-\" \"ESP32HTTPClient\"",
    "ERROR: 15:43:17 | (Background on this error at: https://sqlalche.me/e/20/4xp6)",
    "LOG: 15:43:17 | [parameters: {'arduino_id_1': 4433, 'param_1': 1}]",
    "LOG: 15:43:17 |  LIMIT %(param_1)s]",
    "LOG: 15:43:17 | WHERE lamps.arduino_id = %(arduino_id_1)s",
    "LOG: 15:43:17 | FROM lamps LEFT OUTER JOIN current_conditions ON lamps.lamp_id = current_conditions.lamp_id JOIN users ON lamps.user_id = users.user_id",
    "LOG: 15:43:17 | [SQL: SELECT lamps.lamp_id AS lamps_lamp_id, lamps.user_id AS lamps_user_id, lamps.arduino_id AS lamps_arduino_id, lamps.last_updated AS lamps_last_updated, current_conditions.lamp_id AS current_conditions_lamp_id, current_conditions.wave_height_m AS current_conditions_wave_height_m, current_conditions.wave_period_s AS current_conditions_wave_period_s, current_conditions.wind_speed_mps AS current_conditions_wind_speed_mps, current_conditions.wind_direction_deg AS current_conditions_wind_direction_deg, current_conditions.last_updated AS current_conditions_last_updated, users.user_id AS users_user_id, users.username AS users_username, users.password_hash AS users_password_hash, users.email AS users_email, users.location AS users_location, users.theme AS users_theme, users.preferred_output AS users_preferred_output, users.sport_type AS users_sport_type, users.wave_threshold_m AS users_wave_threshold_m, users.wind_threshold_knots AS users_wind_threshold_knots",
